,match,nome-geografico,uc-entrada,uc-saida,name,nome-vide,lookup,nome-pai,vide_type,faculdade,match_type,match_error,match_obs
142552,208913,Figueiró dos Vinhos,1670-03-09,1679-10-15,António de Almeida,Cunha,António de Almeida Cunha,,add,Teologia,aka-see,False,
142543,211907,Coimbra,0000-00-00,0000-00-00,António de Almeida,Lemos,António de Almeida Lemos,,add,,see-aka,False,
211907,142543,Coimbra,1673-10-01,1684-07-11,António de Almeida Lemos,Almeida,António de Almeida,António de Almeida Lemos,cut,Cânones,aka-see,False,
142568,224617,Minas,0000-00-00,0000-00-00,António de Almeida,Silva,António de Almeida Silva,,add,,see-aka,False,
224617,142568,Minas,1741-12-16,1752-07-01,António de Almeida Silva,de Almeida,António de Almeida,António de Almeida da Silva,cut,Cânones,aka-see,False,
224617,142568,Minas,1741-12-16,1752-07-01,António de Almeida Silva,de Almeida,António de Almeida,António de Almeida da Silva,cut,Medicina,aka-see,False,
142554,,Fonte Arcada,1679-10-01,1679-10-01,António de Almeida,e Sousa,António de Almeida e Sousa,,add,Cânones,,False,W01-Single match (asymmetric) data
204905,142590,Vidigueira,0000-00-00,0000-00-00,António de Almeida Toscano,Almeida,António de Almeida,,cut,Leis,see-aka,False,
142590,204905,Vidigueira,1634-10-10,1641-03-07,António de Almeida,Toscano,António de Almeida Toscano,Pedro Lopes de Magalhães,add,Leis,aka-see,False,
220837,144747,Lanheses,0000-00-00,0000-00-00,António Alves de Painçais,António José Alves,António José Alves,,rep,,see-aka,False,
144747,220837,Lanheses,1734-10-01,1744-10-01,António José Alves,António Alves de Painçais,António Alves de Painçais,Domingos Álvares,rep,Cânones,aka-see,False,
235061,144708,Paredes,0000-00-00,0000-00-00,António Alves de Sousa,Alves,António Alves,,cut,,see-aka,False,
144708,235061,Paredes,1735-10-01,1741-12-19,António Alves,Sousa,António Alves Sousa,Domingos Alves,add,Cânones,aka-see,False,
242956,146639,Guarda,0000-00-00,0000-00-00,António Antunes de Pina,Antunes,António Antunes,,cut,,see-aka,False,
146639,242956,Guarda,1590-10-19,1591-11-02,António Antunes,Pina,António Antunes Pina,Domingos Carvalho,add,Cânones,aka-see,False,
167316,147265,,0000-00-00,0000-00-00,António da Anunciação Evangelista,Anunciação,António da Anunciação,,cut,,see-aka,False,
147265,167316,,1738-10-01,1744-10-01,António da Anunciação,Evangelista,António da Anunciação Evangelista,,add,Teologia,aka-see,False,
265961,147488,Ameixoeira,0000-00-00,0000-00-00,António de Araújo de Azevedo,Araújo,António de Araújo,,cut,,see-aka,False,
147488,265961,Ameixoeira,1596-03-16,1603-06-23,António de Araújo,Azevedo,António de Araújo Azevedo,Luís de Araújo,add,Matemática,aka-see,False,
151641,147511,Arcos de Valdevez,0000-00-00,0000-00-00,António de Araújo Velho e Barros,Araújo,António de Araújo,Diogo de Araújo,cut,Cânones,see-aka,False,
147511,151641,Arcos de Valdevez,1729-10-01,1737-05-31,António de Araújo,Velho e Barros,António de Araújo Velho e Barros,Diogo de Araújo,add,Cânones,aka-see,False,
151641,147511,São Jorge,0000-00-00,0000-00-00,António de Araújo Velho e Barros,Araújo,António de Araújo,Diogo de Araújo,cut,Cânones,see-aka,False,
147511,151641,São Jorge,1729-10-01,1737-05-31,António de Araújo,Velho e Barros,António de Araújo Velho e Barros,Diogo de Araújo,add,Cânones,aka-see,False,
265964,144735,Santa Maria de Terroso,0000-00-00,0000-00-00,António de Azevedo,Alves,António de Azevedo Alves,,add,,see-aka,False,
