gml_id,text,sourceOfNa
PT.GN.112772,Seixal,DGT
PT.GN.112773,Montemor-o-Novo,DGT
PT.GN.112774,Quinta da Trindade,DGT
PT.GN.112775,Vale Figueira,DGT
PT.GN.112776,São Miguel de Machede,DGT
PT.GN.112777,Arroteias,DGT
PT.GN.112778,Corroios,DGT
PT.GN.112779,Assumadas,DGT
PT.GN.112780,Caldeira do Moínho,DGT
PT.GN.112781,Paço e Corgo,DGT
PT.GN.112782,Montes de Alvor,DGT
PT.GN.112783,Pedragosa,DGT
PT.GN.112784,Boavista,DGT
PT.GN.112785,Asseca,DGT
PT.GN.112786,Estômbar,DGT
PT.GN.112787,Barrabés,DGT
PT.GN.112788,Conceição,DGT
PT.GN.112789,Calçada,DGT
PT.GN.112790,Odiáxere,DGT
PT.GN.112791,Bom Retiro,DGT
PT.GN.112792,Cabeço do Mocho,DGT
PT.GN.112793,Cardosas,DGT
PT.GN.112794,Cerro da Mesquita,DGT
PT.GN.112795,Coca Maravilhas,DGT
PT.GN.112796,Vilarinhos,DGT
PT.GN.112797,Santa Luzia,DGT
PT.GN.112798,Mesquita Alta,DGT
PT.GN.112799,Vale das Hortas,DGT
PT.GN.112800,Lobite,DGT
PT.GN.112801,Cerro do Ouro,DGT
PT.GN.112802,São Brás de Alportel,DGT
PT.GN.112803,Vales do Algoz/Taipas,DGT
PT.GN.112804,Gralheira,DGT
PT.GN.112805,Montes e Lagares,DGT
PT.GN.112806,Santa Catarina,DGT
PT.GN.112807,São Romão,DGT
PT.GN.112808,Bensafrim,DGT
PT.GN.112809,Soalheira,DGT
PT.GN.112810,Sesmarias,DGT
PT.GN.112811,Poço dos Ferreiros,DGT
PT.GN.112812,Companheira,DGT
PT.GN.112813,Mealhas,DGT
PT.GN.112814,Chão das Donas,DGT
PT.GN.112815,Parragil,DGT
PT.GN.112816,Mexilhoeira Grande,DGT
PT.GN.112817,Esteveira,DGT
PT.GN.112818,Carapeto,DGT
PT.GN.112819,Fonte da Pedra,DGT
PT.GN.112820,Malheiros,DGT
PT.GN.112821,Algoz,DGT
PT.GN.112822,Palheiros,DGT
PT.GN.112823,Figueira,DGT
PT.GN.112824,Tunes,DGT
PT.GN.112825,Campina,DGT
PT.GN.112826,Cerca Velha,DGT
PT.GN.112827,Poço Barreto,DGT
PT.GN.112828,Mem Moniz,DGT
PT.GN.112829,Alcantarilha-Gare,DGT
PT.GN.112830,Manta Rota,DGT
PT.GN.112831,Ferrarias/Lapa,DGT
PT.GN.112832,Ladeira do Vau,DGT
PT.GN.112833,Almargens,DGT
PT.GN.112834,Sobrado,DGT
PT.GN.112835,Almeijoafras,DGT
PT.GN.112836,Casa dos Pires,DGT
PT.GN.112837,Silves-Gare,DGT
PT.GN.112838,Belmonte,DGT
PT.GN.112839,Vila Nova de Cacela,DGT
PT.GN.112840,Alportel,DGT
PT.GN.112841,Malhão,DGT
PT.GN.112842,Matos,DGT
PT.GN.112843,Altura,DGT
PT.GN.112844,Paderne,DGT
PT.GN.112845,Monte Seco,DGT
PT.GN.112846,Cerro de São Miguel,DGT
PT.GN.112847,Purgatório,DGT
PT.GN.112848,Monte Gordo,DGT
PT.GN.112849,Quinta Manuel Alves,DGT
PT.GN.112850,Barrocal,DGT
PT.GN.112851,Carrapateira,DGT
PT.GN.112852,Ribeira Alta/Aivados/Barranco Longo,DGT
PT.GN.112853,Aldeia Nova,DGT
PT.GN.112854,Pocinho,DGT
PT.GN.112855,Alcalar,DGT
PT.GN.112856,Silves,DGT
PT.GN.112857,Hortas,DGT
PT.GN.112858,Foral,DGT
PT.GN.112859,Tôr,DGT
PT.GN.112860,Vila Real de Santo António,DGT
PT.GN.112861,São Bartolomeu,DGT
PT.GN.112862,Andrezes,DGT
PT.GN.112863,Torre e Cercas,DGT
PT.GN.112864,Porto de Lagos,DGT
PT.GN.112865,Carrasqueiro,DGT
PT.GN.112866,Ribeira de Alte,DGT
PT.GN.112867,Pinheiro e Garrado,DGT
PT.GN.112868,Quinta do Sobral,DGT
PT.GN.112869,Senhora Verde,DGT
PT.GN.112870,Pedreira de Santo Estêvão,DGT
PT.GN.112871,Castro Marim,DGT
PT.GN.112872,Benaciate,DGT
PT.GN.112873,Eira Pelada,DGT
PT.GN.112874,Rasmalho,DGT
PT.GN.112875,Barrocal,DGT
PT.GN.112876,Cumeada,DGT
PT.GN.112877,Benafim,DGT
PT.GN.112878,Alte,DGT
PT.GN.112879,Monte Francisco,DGT
PT.GN.112880,Salir,DGT
PT.GN.112881,Messines de Baixo,DGT
PT.GN.112882,Arneiro/Almargem de El-Rei,DGT
PT.GN.112883,Portela de Messines,DGT
PT.GN.112884,Monte de São José,DGT
PT.GN.112885,Alfambras,DGT
PT.GN.112886,Monte do Boi,DGT
PT.GN.112887,Junqueira,DGT
PT.GN.112888,Amorosa,DGT
PT.GN.112889,São Bartolomeu de Messines,DGT
PT.GN.112890,Aldeia Ruiva,DGT
PT.GN.112891,Cortelha,DGT
PT.GN.112892,Campilhos,DGT
PT.GN.112893,Furadouro,DGT
PT.GN.112894,Azinhal,DGT
PT.GN.112895,Soalheira,DGT
PT.GN.112896,Vale Figueira,DGT
PT.GN.112897,Nave,DGT
PT.GN.112898,Meia Viana,DGT
PT.GN.112899,Monchique,DGT
PT.GN.112900,Marmelete,DGT
PT.GN.112901,Vale da Telha,DGT
PT.GN.112902,Aljezur,DGT
PT.GN.112903,Igreja Nova,DGT
PT.GN.112904,Cachopo,DGT
PT.GN.112905,Odeleite,DGT
PT.GN.112906,São Marcos da Serra,DGT
PT.GN.112907,Ameixial,DGT
PT.GN.112908,Rogil,DGT
PT.GN.112909,Maria Vinagre,DGT
PT.GN.112910,Odeceixe,DGT
PT.GN.112911,Dogueno,DGT
