count,date_in,date_max,naturalidade,normalizada,geocoder,id,address,city,country,importance,class,type,latitude,longitude,distance
1,1552-02-09,1552-02-09,"Tarouca, Lamego","Tarouca, Lamego",,,,,,,,,,,
1,1814-10-31,1814-10-31,Tarouce,Tarouce,,,,,,,,,,,
1,1913-08-08,1913-08-08,"Tarouquela, Cinfães","Tarouquela, Cinfães",osm,4263642554.0,"Tarouquela, Tarouquela, Cinfães, Viseu, Portugal",Tarouquela,Portugal,0.4938112565126804,place,village,41.070446,-8.1883932,97.92119249778132
1,1738-10-01,1738-10-01,"Tarouquela, Santa Maria Maior de","Tarouquela, Santa Maria Maior de",,,,,,,,,,,
1,1901-10-05,1901-10-05,"Tatuby, São Paulo","Tatuby, São Paulo",,,,,,,,,,,
1,1579-10-12,1579-10-12,Tavares de Penedono,Tavares de Penedono,,,,,,,,,,,
1,1895-10-15,1895-10-15,Tavarrel,Tavarrel,,,,,,,,,,,
1,1765-10-01,1765-10-01,"Taveiro, Casal Farto","Taveiro, Casal Farto",,,,,,,,,,,
1,1765-10-01,1765-10-01,"Taveiro, Reveles de","Taveiro, Reveles de",,,,,,,,,,,
1,1899-10-02,1899-10-02,Taveiros,Taveiros,,,,,,,,,,,
1,1815-10-30,1815-10-30,"Tavide, Guimarães","Tavide, Guimarães",,,,,,,,,,,
1,1767-10-01,1767-10-01,"Tavira, Angeja","Tavira, Angeja",,,,,,,,,,,
1,1649-10-16,1649-10-16,"Tavira, Faro","Tavira, Faro",osm,5404224.0,"Tavira, Faro, PT-08, Portugal",Tavira,Portugal,0.6818654282372754,boundary,administrative,37.1262493,-7.6499121,348.63921026365125
1,1756-10-01,1756-10-01,Tavora,Tavora,osm,4648491.0,"Távora (Santa Maria e São Vicente), Arcos de Valdevez, Viana do Castelo, Portugal",Távora (Santa Maria e São Vicente),Portugal,0.2780150946188139,boundary,administrative,41.82003965,-8.47004538819132,179.1262440953367
1,1766-10-01,1766-10-01,Taxoeiria de Seita,Taxoeiria de Seita,,,,,,,,,,,
1,1748-12-23,1748-12-23,Tazém,Tazém,osm,5166462027.0,"Tazém, Padrela e Tazem, Valpaços, Vila Real, Portugal",Valpaços,Portugal,0.36,place,hamlet,41.5515629,-7.4901867,168.82544880650093
1,1899-10-02,1899-10-02,"Tebosa, Braga","Tebosa, Braga",osm,4135213.0,"Tebosa, Braga, Braga, Portugal",Braga,Portugal,0.5241234681398241,boundary,administrative,41.4823693,-8.4844489,141.66982236319382
1,1746-12-19,1746-12-19,Teiscoso,Teiscoso,,,,,,,,,,,
1,1550-10-08,1550-10-08,"Teivaldinho, Azurara","Teivaldinho, Azurara",,,,,,,,,,,
1,1752-10-01,1752-10-01,Teixeiro,Teixeiro,osm,3930361661.0,"Teixeiró, Teixeira e Teixeiró, Baião, Porto, PT-13, Portugal",Teixeira e Teixeiró,Portugal,0.224193162948078,place,village,41.1814706,-7.9017408,116.8901720930744
1,1800-10-30,1800-10-30,"Teixo, Viseu","Teixo, Viseu",osm,5347013383.0,"Teixo, São João do Monte e Mosteirinho, Tondela, Viseu, Portugal",Tondela,Portugal,0.47,place,hamlet,40.5537709,-8.235991,41.70688704519282
1,1777-10-21,1777-10-21,"Teixosa, Covilhã","Teixosa, Covilhã",,,,,,,,,,,
1,1856-10-21,1856-10-21,"Teixoso, Castelo Branco","Teixoso, Castelo Branco",osm,2007054946.0,"Teixoso, Covilhã, Castelo Branco, Portugal",Covilhã,Portugal,0.6040287400552382,place,town,40.3134342,-7.4580288,83.18090846901819
1,1585-10-11,1585-10-11,Teixugal,Teixugal,,,,,,,,,,,
