value,count,date_in,date_max
Lanhoso,21,1594-10-07,1787-10-31
Montalvão,21,1629-10-16,1888-10-15
Nazaré,21,1719-10-01,1905-10-09
Paradela,21,1692-10-01,1909-10-02
Pico de Regalados,21,1649-10-10,1905-10-09
Pinheiro da Bemposta,21,1587-10-02,1900-10-03
Povolide,21,1658-10-01,1843-10-06
Santa Comba,21,1550-00-00,1889-10-15
Sever,21,1595-10-24,1842-10-27
São João da Madeira,21,1646-10-07,1908-10-02
São Martinho,21,1585-11-08,1894-10-03
Tuias,21,1690-03-03,1891-10-02
Vila Nova da Barca,21,1640-11-06,1775-12-16
Vila Nova da Rainha,21,1590-10-10,1839-10-19
Vilar,21,1595-01-16,1753-10-01
Vilarinho da Lousã,21,1556-00-00,1885-06-20
Alcochete,20,1540-03-21,1899-10-02
Bunheiro,20,1669-10-30,1907-10-14
Capinha,20,1641-10-15,1873-10-10
Casais do Campo,20,1697-10-01,1849-10-23
Fermelã,20,1639-10-12,1786-10-31
Fontelas,20,1677-11-07,1872-10-15
Gesteira,20,1658-10-01,1884-10-09
Macieira de Cambra,20,1696-11-29,1900-10-13
Maçãs de Dona Maria,20,1676-11-16,1879-10-07
Monsaraz,20,1559-10-01,1848-10-03
Moreira,20,1619-10-15,1838-10-31
Mós,20,1588-10-13,1759-10-01
Nespereira,20,1609-06-24,1893-10-12
Reguengo,20,1630-11-16,1822-07-03
Riodades,20,1588-10-10,1903-10-14
Sinfães,20,1598-10-20,1902-10-09
Sousel,20,1575-10-12,1788-10-08
Telhado,20,1721-10-01,1905-10-03
Vila Nova do Casal,20,1668-10-20,1836-10-22
Aldeia das Dez,19,1702-10-01,1911-10-31
Alfarelos,19,1642-10-15,1903-10-06
Atouguia,19,1566-11-14,1776-10-19
Avelar,19,1566-12-12,1891-10-03
Castelo Rodrigo,19,1540-01-19,1886-10-15
Celavisa,19,1686-10-01,1869-10-02
Cristelo,19,1709-10-01,1908-10-02
"Farinha Podre, hoje São Pedro de Alva",19,1642-10-15,1860-10-05
Ferreira do Zêzere,19,1681-10-01,1908-10-10
Horta,19,1708-10-24,1910-10-18
Junqueira,19,1664-11-03,1787-10-24
Macau,19,1718-12-15,1905-10-04
Mancelos,19,1555-00-00,1909-10-13
Nogueira do Cravo,19,1575-10-01,1906-10-03
Pala,19,1586-10-01,1845-10-13
Tonda,19,1607-10-31,1871-10-04
Vila Rica,19,1735-10-01,1816-10-19
Águas Santas,19,1655-02-01,1904-10-01
Azinhaga,18,1537-00-00,1901-10-08
Barcos,18,1562-11-29,1895-11-03
Bombarral,18,1609-11-20,1830-06-16
Brasil,18,1574-10-12,1664-10-01
"Cachoeira, Baía, Brasil",18,1745-10-01,1824-10-30
Castro Marim,18,1731-10-30,1912-06-17
Cidadelhe,18,1650-10-20,1848-10-06
Landroal,18,1559-10-01,1764-10-01
Lixa,18,1674-10-17,1869-10-16
Maçãs de D Maria,18,1660-01-21,1879-10-02
Ourentã,18,1661-10-31,1812-06-15
Pedrogão Pequeno,18,1577-10-29,1907-10-12
Pinheiro,18,1607-11-09,1878-10-12
Ruivães,18,1593-10-07,1886-10-09
Serrazes,18,1589-10-07,1814-01-14
São João da Foz,18,1609-11-06,1892-10-03
Torres,18,1614-10-15,1904-10-07
"Viana, Minho",18,1779-10-20,1848-06-05
Vila Pouca da Beira,18,1669-10-22,1804-10-31
Aljustrel,17,1582-10-09,1820-11-25
Aregos,17,1589-02-01,1780-10-27
Branca,17,1636-10-15,1901-10-10
Cabeça de Vide,17,1537-12-18,1738-10-01
Carviçais,17,1693-10-01,1880-10-12
Castendo,17,1559-10-01,1907-10-09
Escalos de Baixo,17,1673-10-17,1890-10-13
Frechas,17,1578-11-14,1899-10-02
Grajal,17,1573-10-10,1724-10-01
