,wikidata,name,alias,bnp_id,naturalidade,placeID,longitude,latitude,birth_date,fauc_id
214,http://www.wikidata.org/entity/Q4777580,Q4777580,,,,,,,1859-09-21,
143,http://www.wikidata.org/entity/Q6844431,Q6844431,,,,,,,1831-08-22,
124,http://www.wikidata.org/entity/Q7442698,Q7442698,,,Seia,http://www.wikidata.org/entity/Q2452531,-7.7033333333333,40.420277777778,1842-12-17,
478,http://www.wikidata.org/entity/Q10357034,Rafael Duque,Rafael da Silva Neves Duque,92754,Torres Novas,http://www.wikidata.org/entity/Q81139,-8.5333333333333,39.483333333333,1893-02-03,
772,http://www.wikidata.org/entity/Q1762312,Raul Leal,,46028,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1886-09-01,
316,http://www.wikidata.org/entity/Q3057590,Raul Mesnier,Mesnier de Ponsard,214133,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1849-04-02,
467,http://www.wikidata.org/entity/Q10363961,Rodrigo da Fonseca Magalhães,Rodrigo da Fonseca,131624,Condeixa-a-Nova,http://www.wikidata.org/entity/Q138830,-8.5,40.116666666667,1787-07-24,
299,http://www.wikidata.org/entity/Q5102445,Rodrigo de Sousa Coutinho,D. Rodrigo de Souza Coutinho,130524,Chaves,http://www.wikidata.org/entity/Q504580,-7.4706805555556,41.739869444444,1755-08-04,206494
200,http://www.wikidata.org/entity/Q5102445,Rodrigo de Sousa Coutinho,D. rodrigo de sousa coutinho,130524,Chaves,http://www.wikidata.org/entity/Q504580,-7.4706805555556,41.739869444444,1755-08-04,
834,http://www.wikidata.org/entity/Q17318358,Roque Ribeiro de Abranches Castelo Branco,,,,,,,1770-07-15,
495,http://www.wikidata.org/entity/Q10367297,Samora Barros,,263389,Albufeira,http://www.wikidata.org/entity/Q373813,-8.24583,37.0897,1887-04-03,151868
454,http://www.wikidata.org/entity/Q10369079,Sebastião Carlos da Costa Brandão e Albuquerque,,539490,,,,,1833-10-07,
372,http://www.wikidata.org/entity/Q28073498,Sebastião Drago Valente de Brito Cabreira,,214840,Faro,http://www.wikidata.org/entity/Q159457,-7.935,37.016111111111,1763-01-06,
396,http://www.wikidata.org/entity/Q319511,"Sebastião José de Carvalho e Melo, marquês de Pombal",Marquês de Pombal,71369,Lisboa,http://www.wikidata.org/entity/Q597,-9.139016,38.708042,1699-05-13,
343,http://www.wikidata.org/entity/Q356691,Sidónio Pais,Sidónio Bernardino Cardoso da Silva Pais,23095,Caminha,http://www.wikidata.org/entity/Q1029544,-8.8333333333333,41.833333333333,1872-05-01,221394
331,http://www.wikidata.org/entity/Q356691,Sidónio Pais,Sidónio Paes,23095,Caminha,http://www.wikidata.org/entity/Q1029544,-8.8333333333333,41.833333333333,1872-05-01,
809,http://www.wikidata.org/entity/Q2296345,Soares de Passos,António Augusto Soares de Passos,59690,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1826-11-27,223073
742,http://www.wikidata.org/entity/Q2296345,Soares de Passos,Soares Passos,59690,Porto,http://www.wikidata.org/entity/Q36433,-8.6107777777778,41.149472222222,1826-11-27,
236,http://www.wikidata.org/entity/Q456789,Sousa Caldas,Antonio pereira de souza caldas,19533,Rio de Janeiro,http://www.wikidata.org/entity/Q8678,-43.196388888889,-22.908333333333,1762-11-24,129088
237,http://www.wikidata.org/entity/Q456789,Sousa Caldas,Antonio pereira de souza caldas,19533,Rio de Janeiro,http://www.wikidata.org/entity/Q8678,-43.196388888889,-22.908333333333,1762-11-24,
