bnp_id,name_bn,date_bn,qualification,bnp_id,fauc_id
1765376,António Martins Gonçalves de Azevedo,18---19--,,1765376,
1765379,Alexandre da Cunha Rola Pereira,18---19--,,1765379,
1765381,António Hermínio Teles,18---19--,,1765381,
1765470,Armando Reimbau da Piedade,18--,,1765470,
1765486,Afonso Carlos Freire Temudo Rangel,18---19--,,1765486,
1765490,Manuel Ferreira da Silva,18---19--,,1765490,
1765611,João das Chagas,16--,"Frei,",1765611,
1765933,Joaquim José de Barros Laborão,1762-1820,,1765933,
1766127,José Morais,18--,,1766127,
1766129,Alvaro Augusto da Costa Cabral,18-19-,,1766129,
1766168,Manuel de Almeida Rino,18-19-,,1766168,
1766171, José Teixeira de Queiroz Botelho de Castro e Vasconcelos,18-19,,1766171,
1766175,Ricardo Rafael de Almeida,18-19-,,1766175,
1766177,António Augusto da Veiga e Sousa,18-19-,,1766177,
1766377,Albino de Paiva Curado,18--,,1766377,
1766436, Raul Geraldes dos Santos,18--19--,,1766436,
1766437,Carlos Maciel,18--19--,,1766437,
1766438, José Leite dos Santos,18--19--,,1766438,
1766439,José Pompeu,18--19--,,1766439,
1766534,António Maria de Carvalho,18--19--,,1766534,
1766538,Guilherme de Sena Cabral,18--19--,,1766538,
1766561,Alfredo de Almeida Torquato Pinheiro,18--19--,,1766561,
1766570,Joaquim Pereira de Sousa,18--19--,,1766570,
1766587,José Augusto Pinto da Silva,18--19--,,1766587,
1766588,Guilhermino da Cunha Vaz,18--19--,,1766588,
1766595,Lourenço Gonçalves Rita,18--19--,,1766595,
1766653,Manuel Carlos Cerdeira,18--19--,,1766653,
1766657,António Fernandes Ferreira,18--19--,,1766657,
1766664,José Augusto Monteiro de Sousa Machado,18--19--,,1766664,
1766670,Ernesto da Silva Mendes,18--19--,,1766670,
1766672,David Ferreira dos Santos,18--19--,,1766672,
1766679,Licínio Prado,18--19--,,1766679,
1766684,Adélio Pinto de Sampaio e Castro,18--19--,,1766684,
1766688, Raimundo António Ramos,18--19--,,1766688,
1766727,António Augusto Rodrigues,18--19--,,1766727,
1766752,Modesto Pereira Coelho,18--19--,,1766752,
1766760,José Peixoto Pinto de Faria,18--19--,,1766760,
1766761,José Godinho de Mendonça,18--,,1766761,
1766771,Arnaldo Pereira Leite,18--19--,,1766771,
1766786,Joaquim Augusto Coelho da Rocha,18--19--,,1766786,
1766788,J. H. Lobban,1871-1939,,1766788,
1766798,Pedro Dias Moreira,18--19--,,1766798,
1766805,Maria Arminda da Costa Prata,18--19--,,1766805,
1766807,Agostinho Simões de Oliveira Gomes,18--19--,,1766807,
1766850,Marcolino Teixeira Marques,18--,,1766850,
1766852,Manuel Cardoso de Mesquita Portugal,18--19--,,1766852,
1766859,Lúcio Gonçalves Nunes,18--19--,,1766859,
1766868,António Pinto de Mesquita,18--19--,,1766868,
1766871,Luis Martins da Costa Soares,18--19--,,1766871,
1766882, Domingos da Silva Pinho Martins,18--19--,,1766882,
1766890,José Manuel Teixeira de Castro,18--19--,,1766890,
1766891,Teotónio Pinto Henriques,18--19--,,1766891,
1766896,Manuel Caetano da Cunha,18--19--,,1766896,
1766899,Júlio Alves  Pinto,18--19--,,1766899,
1766902,Vicente Carlos de Sousa,18--19--,,1766902,
1766906,Elias José de Morais,1830,,1766906,
1766909,João Eduardo de Abreu Tavares,1830,,1766909,
1766942,Pedro Augusto de Anciães Proença,1843-1917,,1766942,
1766983,João de Oliveira Baptista,18--19--,,1766983,
1767031,Eduardo Santos Silva,18--19--,,1767031,
1767076,José Sebastião do Souto,18--,,1767076,
1767082,Frederico Lopes Pereira Dias Guilherme,18--,,1767082,
1767152,Joaquim Serafim de Barros,18--19--,,1767152,
1767153,Augusto Dias de Magalhães Vasconcelos,18--19--,,1767153,
1767163,José António  Baptista,18--19--,,1767163,
1767187,António Cardoso da Silva Maia,18--19--,,1767187,
1767190,Alberto Barbosa de Queirós,18--,,1767190,
